Ukuran,ID,Time,Residual
256,1,17.0000,0.0000
256,2,21.0000,0.0000
256,3,18.0000,0.0000
256,4,18.0000,0.0000
256,5,18.0000,0.0000
256,6,19.0000,0.0000
512,1,138.0000,0.0000
512,2,145.0000,0.0000
512,3,134.0000,0.0000
512,4,136.0000,0.0000
512,5,141.0000,0.0000
512,6,145.0000,0.0000
1024,1,1172.0000,0.0000
1024,2,1125.0000,0.0000
1024,3,1125.0000,0.0000
1024,4,1140.0000,0.0000
1024,5,1148.0000,0.0000
1024,6,1140.0000,0.0000
2048,1,9688.0000,0.0001
2048,2,9504.0000,0.0001
2048,3,9579.0000,0.0001
2048,4,9353.0000,0.0001
2048,5,9338.0000,0.0001
2048,6,9331.0000,0.0001
4096,1,74596.0000,0.0009
4096,2,101199.0000,0.0009
4096,3,132416.0000,0.0009
4096,4,122267.0000,0.0009
4096,5,116278.0000,0.0009
4096,6,108826.0000,0.0009
