Ukuran,ID,Time,Residual
256,1,189.5568,0.0000
256,2,187.0490,0.0000
256,3,75.8852,0.0000
256,4,191.1319,0.0000
256,5,187.7814,0.0000
256,6,186.7440,0.0000
512,1,371.7077,0.0000
512,2,371.8956,0.0000
512,3,374.4789,0.0000
512,4,381.8217,0.0000
512,5,203.9792,0.0000
512,6,336.7814,0.0000
1024,1,713.3352,0.0000
1024,2,760.0905,0.0000
1024,3,731.7741,0.0000
1024,4,763.5634,0.0000
1024,5,781.5306,0.0000
1024,6,656.0827,0.0000
2048,1,1632.7710,0.0001
2048,2,1724.3268,0.0001
2048,3,1737.4438,0.0001
2048,4,1584.0857,0.0001
2048,5,1714.4520,0.0001
2048,6,1728.9567,0.0001
4096,1,7414.8799,0.0009
4096,2,7422.6709,0.0009
4096,3,7440.2979,0.0009
4096,4,7412.4219,0.0009
4096,5,7372.9331,0.0009
4096,6,7393.9688,0.0009
